RegNo,HerdCode,DrayDate
3.64099E+14,,1392/08/02
3.64099E+14,,1394/01/22
3.64099E+14,,1395/03/26
3.64099E+14,,1391/03/20
3.64099E+14,,1392/08/02
3.64099E+14,,1391/10/26
3.64099E+14,,1392/11/03
3.64099E+14,,1393/11/05
3.64099E+14,,1391/07/14
3.64099E+14,,1393/05/24
3.64099E+14,,1391/07/14
3.64099E+14,,1391/10/15
3.64099E+14,,1393/02/15
3.64099E+14,,1394/05/19
3.64099E+14,,1391/09/02
3.64099E+14,,1392/08/02
3.64099E+14,,1392/01/01
3.64099E+14,,1393/06/16
3.64099E+14,,1392/10/13
3.64099E+14,,1393/11/12
3.64099E+14,,1392/07/26
3.64099E+14,,1393/09/01
3.64099E+14,,1395/05/27
3.64099E+14,,1392/04/07
3.64099E+14,,1393/06/16
3.64099E+14,,1392/07/02
3.64099E+14,,1393/10/22
3.64099E+14,,1394/10/18
3.64099E+14,,1397/05/21
3.64099E+14,,1392/07/02
3.64099E+14,,1393/09/01
3.64099E+14,,1392/04/03
3.64099E+14,,1393/09/01
3.64099E+14,,1393/03/02
3.64099E+14,,1392/03/03
3.64099E+14,,1393/09/01
3.64099E+14,,1394/09/20
3.64099E+14,,1392/03/03
3.64099E+14,,1393/05/24
3.64099E+14,,1393/01/18
3.64099E+14,,1392/04/20
3.64099E+14,,1393/07/04
3.64099E+14,,1393/03/02
3.64099E+14,,1391/12/02
3.64099E+14,,1393/05/24
3.64099E+14,,1394/06/21
3.64099E+14,,1396/01/21
3.64099E+14,,1393/01/15
3.64099E+14,,1393/05/12
3.64099E+14,,1392/02/25
3.64099E+14,,1392/11/03
3.64099E+14,,1394/01/22
3.64099E+14,,1392/12/04
3.64099E+14,,1393/05/24
3.64099E+14,,1393/03/19
3.64099E+14,,1393/02/15
3.64099E+14,,1394/04/13
3.64099E+14,,1393/08/25
3.64099E+14,,1394/11/13
3.64099E+14,,1393/12/20
3.64099E+14,,1393/09/20
3.64099E+14,,1394/12/02
