HerdCode,RegNo,Jalali,Fat,Protein,FreezingPointDepression,Cells
,3.64099E+14,1401/09/08,3.97,2.93,,125
,3.64009E+14,1401/11/09,6.32,3.04,,60
,3.64009E+14,1402/11/15,4.88,3.32,,
,3.64009E+14,1403/05/15,3.11,2.88,,11
,3.64009E+14,1399/01/08,1.82,3.08,,79
,3.64009E+14,1403/06/18,2.35,3.77,,16
,3.64009E+14,1400/12/02,3.91,3.51,,21
,3.64009E+14,1401/05/04,3.27,3.51,,128
,3.64009E+14,1400/07/04,5.86,3.59,17,
,3.64099E+14,1399/02/01,4.91,3.48,,24
,3.64009E+14,1403/04/11,3.37,3.84,,
,3.64009E+14,1399/04/10,2.97,2.75,,27
,3.64009E+14,1401/05/04,2.95,3.22,,59
,3.64099E+14,1399/08/03,3.8,3.6,,122
,3.64009E+14,1401/07/07,6.72,3.41,,446
,3.64099E+14,1400/10/04,3.33,3.07,,20
,3.64009E+14,1401/10/07,4.49,3.6,,68
,3.64009E+14,1402/04/11,3.38,2.45,,17
,3.64009E+14,1399/09/04,2.85,2.35,,93
,3.64009E+14,1400/05/02,2.91,2.82,,
,3.64099E+14,1398/09/05,2.52,3.56,,11
,3.64099E+14,1398/11/03,3.91,3.44,,17
,3.64099E+14,1399/06/02,4.2,4.03,,54
,3.64009E+14,1403/07/22,3.99,3.44,,17
,3.64009E+14,1403/05/15,4.92,3.17,,11
,3.64099E+14,1398/10/03,3.61,2.72,,324
,3.64009E+14,1403/02/07,4.68,3.25,,413
,3.64009E+14,1400/06/02,2.77,3.34,,26
,3.64009E+14,1399/04/10,4.74,3.42,,23
,3.64009E+14,1401/02/04,4.52,3.23,,428
,3.64009E+14,1402/02/12,5.71,2.43,,12
,3.64099E+14,1399/09/04,2.9,2.37,,176
,3.64099E+14,1400/12/02,3.8,3.45,,22
,3.64009E+14,1401/07/07,5.55,3.62,,410
,3.64009E+14,1403/07/22,5,4.12,,5778
,3.64009E+14,1400/02/01,3.37,3.23,,
,3.64099E+14,1401/02/04,3.31,2.31,,52
,3.64009E+14,1400/03/04,3.67,2.98,,210
,3.64099E+14,1398/11/03,4.2,3.46,,21
,3.64099E+14,1398/12/05,4.98,3.31,,
,3.64099E+14,1403/08/24,5,3.72,,221
,3.64009E+14,1399/07/02,3.1,3.63,,88
,3.64009E+14,1402/12/16,4.41,2.9,,152
,3.64009E+14,1403/06/18,2,3.07,,15
,3.64009E+14,1401/05/04,3.74,3.41,,37
,3.64099E+14,1401/01/06,3.72,2.4,,136
,3.64009E+14,1402/03/12,5,2.37,,2497
,3.64009E+14,1403/08/24,3.99,3.29,,171
,3.64009E+14,1399/07/02,3.41,3.75,,57
,3.64009E+14,1401/08/08,4.43,3.63,,125
,3.64009E+14,1401/12/10,5.27,2.57,,67
,3.64009E+14,1402/02/12,4.95,2.89,,14
,3.64099E+14,1399/12/01,3.87,3.49,,44
,3.64099E+14,1401/10/07,3.37,3.19,,66
,3.64009E+14,1402/02/12,6.9,2.38,,11
,3.64009E+14,1403/06/18,4.19,4.22,,14
,3.64009E+14,1400/01/03,2.63,2.29,,261
,3.64009E+14,1401/12/10,4.52,2.47,,197
,3.64099E+14,1398/12/05,3.45,2.65,,
,3.64099E+14,1400/05/02,3.29,3.46,,
,3.64099E+14,1399/09/04,2.85,2.36,,89
,3.64009E+14,1401/08/08,5.35,3.92,,170
,3.64009E+14,1402/07/11,5,2.99,,303
,3.64009E+14,1401/12/10,3.82,2.35,,27
,3.64009E+14,1401/01/06,3.92,3.09,,23
,3.64099E+14,1399/01/08,4.08,3.15,,24
,3.64099E+14,1402/04/11,3.74,2.72,,150
,3.64009E+14,1403/04/11,3.99,3.19,,
,3.64009E+14,1400/09/01,3.04,3.11,,22
,3.64009E+14,1399/11/01,3.41,2.51,,
,3.64009E+14,1401/11/09,3.6,3.16,,132
,3.64009E+14,1401/07/07,3.91,4.07,,98
,3.64009E+14,1402/10/11,5,3.34,,12
,3.64009E+14,1400/07/04,6.01,4.27,23,
,3.64099E+14,1400/09/01,3.13,2.11,,108
,3.64099E+14,1401/03/08,4.41,2.38,,36
,3.64009E+14,1402/12/16,4.68,3.12,,31
,3.64009E+14,1399/04/10,2.86,2.53,,19
,3.64009E+14,1400/05/02,3.18,3.64,,
,3.64099E+14,1402/01/09,6.13,2.37,,146
,3.64099E+14,1402/03/12,5,2.78,,1661
,3.64009E+14,1402/09/11,4.96,3.19,,39
,3.64009E+14,1402/05/13,3.61,2.24,,12
,3.64009E+14,1399/09/04,2.85,2.37,,148
,3.64009E+14,1402/10/11,3.7,3.44,,12
,3.64009E+14,1400/12/02,3.8,3.11,,24
,3.64009E+14,1399/09/04,2.87,2.36,,150
,3.64009E+14,1401/07/07,6.17,4,,128
,3.64009E+14,1403/07/22,5,3.57,,110
,3.64009E+14,1401/08/08,6.84,3.42,,59
,3.64009E+14,1400/04/01,3.95,3.55,,154
